utterance,tagged
How did John say the car was fixed?,How|WhAdv did|V John|N say|V the|D car|N was|V fixed|V ?|. 
What gifts do you think I was given for Christmas?,What|WhPron gifts|V do|V you|Pron think|V I|Pron was|V given|V for|P Christmas|N ?|. 
Which of these two dresses do you think she will prefer?,Which|N of|P these|D two|Q dresses|N do|V you|Pron think|V she|Pron will|Mod prefer|V ?|. 
What was John persuaded by Bill to buy?,What|WhPron was|V John|N persuaded|V by|P Bill|N to|To-Inf buy|V ?|. 
Who did you say was pushed?,Who|WhPron did|V you|Pron say|V was|V pushed|V ?|. 
What did they think was hidden?,What|WhPron did|V they|Pron think|V was|V hidden|V ?|. 
What did you say was seen?,What|WhPron did|V you|Pron say|V was|V seen|V ?|. 
Why do you wonder who would be invited by Mary for dinner?,Why|WhAdv do|V you|Pron wonder|V who|WhPron would|Mod be|V invited|V by|P Mary|N for|P dinner|N ?|. 
Ellipsis,Ellipsis|N 
Active Voice,Active|A Voice|N 
Mary can't go to the store but John can.,Mary|N ca_n't|N go|V to|To-Inf the|D store|N but|Con John|N can|Mod .|. 
"You have been working hard, but John hasn't.","You|Pron have|V been|V working|V hard|A ,|, but|Con John|N has|V n't|Adv .|. "
John has gone to the store and Bill has too.,John|N has|V gone|V to|To-Inf the|D store|N and|Con Bill|N has|V too|Adv .|. 
John seemed to be happy and Mary did too.,John|N seemed|V to|To-Inf be|V happy|A and|Con Mary|N did|V too|Adv .|. 
John practices for three hours every day and Bill does too.,John|N practices|N for|P three|Q hours|N every|D day|N and|Con Bill|N does|V too|Adv .|. 
"I think I put the money in one of these books, but I can’t remember which.","I|Pron think|V I|Pron put|V the|D money|N in|P one|Q of|P these|D books|N ,|, but|Con I|Pron can|Mod ’|V t|A remember|N which|WhD .|. "
"John bought an apple, and Mary a pear.","John|N bought|V an|D apple|N ,|, and|Con Mary|N a|D pear|N .|. "
I asked him to write the report but he wouldn’t.,I|Pron asked|V him|Pron to|To-Inf write|V the|D report|N but|Con he|Pron wouldn|V ’|A t|N .|. 
"This boy must not go to France, but his father must.","This|D boy|N must|Mod not|Adv go|V to|To-Inf France|N ,|, but|Con his|PosPron father|N must|Mod .|. "
This girl will buy bread and so will that one.,This|D girl|N will|Mod buy|V bread|A and|Con so|Adv will|Mod that|P one|Q .|. 
I buy books every day but John does not.,I|Pron buy|V books|N every|D day|N but|Con John|N does|V not|Adv .|. 
John ran away and Mary did too.,John|N ran|V away|Adv and|Con Mary|N did|V too|Adv .|. 
Mary fell asleep and John did too.,Mary|N fell|V asleep|Adv and|Con John|N did|V too|Adv .|. 
"They say the chairman has resigned, but I don’t think he has.","They|Pron say|V the|D chairman|N has|V resigned|V ,|, but|Con I|Pron don|V ’|A t|N think|N he|Pron has|V .|. "
"Bill knows he should go to the dentist, but he stubbornly refuses.","Bill|N knows|V he|Pron should|Mod go|V to|To-Inf the|D dentist|N ,|, but|Con he|Pron stubbornly|Adv refuses|V .|. "
The press said that the chairman would resign from the board and he has.,The|D press|N said|V that|P the|D chairman|N would|Mod resign|V from|P the|D board|N and|Con he|Pron has|V .|. 
"I don’t really want to go to the dentist’s office, but I know I should.","I|Pron don|V ’|A t|N really|Adv want|V to|To-Inf go|V to|To-Inf the|D dentist|N ’|N s|N office|N ,|, but|Con I|Pron know|V I|Pron should|Mod .|. "
"I refuse to believe, but you don't refuse.","I|Pron refuse|V to|To-Inf believe|V ,|, but|Con you|Pron do|V n't|Adv refuse|V .|. "
A lot of prisoners lie and say they are sorry about something when they are not.,A|D lot|N of|P prisoners|N lie|A and|Con say|V they|Pron are|V sorry|A about|P something|N when|WhAdv they|Pron are|V not|Adv .|. 
"John had given his word to be loyal to her, and he was.","John|N had|V given|V his|PosPron word|N to|To-Inf be|V loyal|A to|To-Inf her|PosPron ,|, and|Con he|Pron was|V .|. "
"I have never been to Australia, but a friend who has assures me that Moody is quite correct.","I|Pron have|V never|Adv been|V to|To-Inf Australia|N ,|, but|Con a|D friend|N who|WhPron has|V assures|N me|Pron that|P Moody|N is|V quite|Adv correct|A .|. "
"We also intend to have a meeting with all parties and find out what’s gone wrong, because it’s obvious something has.","We|Pron also|Adv intend|V to|To-Inf have|V a|D meeting|N with|P all|D parties|N and|Con find|V out|Part what|WhPron ’|V s|N gone|V wrong|Adv ,|, because|P it|Pron ’|V s|Adv obvious|A something|N has|V .|. "
"Under government policy, Cubans who make it to shore are generally allowed to stay, while those who do not are sent back to their homeland.","Under|P government|N policy|N ,|, Cubans|N who|WhPron make|V it|Pron to|To-Inf shore|V are|V generally|Adv allowed|V to|To-Inf stay|V ,|, while|P those|D who|WhPron do|V not|Adv are|V sent|V back|Adv to|To-Inf their|PosPron homeland|N .|. "
"The governor will save California’s old-growth forests, as previous governors did not.","The|D governor|N will|Mod save|V California|N ’|N s|V old-growth|A forests|N ,|, as|P previous|A governors|N did|V not|Adv .|. "
"He wants to be the boss and yesterday, he was.","He|Pron wants|V to|To-Inf be|V the|D boss|N and|Con yesterday|N ,|, he|Pron was|V .|. "
Sometimes I feel like I would like to crawl away and hide but I will not.,Sometimes|Adv I|Pron feel|V like|P I|Pron would|Mod like|V to|To-Inf crawl|V away|Adv and|Con hide|V but|Con I|Pron will|Mod not|Adv .|. 
We are all trying as if we could.,We|Pron are|V all|D trying|V as|P if|P we|Pron could|Mod .|. 
"I believe that, if I were to continue to play for Zimbabwe, I would do so only
by neglecting the voice of my conscience.","I|Pron believe|V that|P ,|, if|P I|Pron were|V to|To-Inf continue|V to|To-Inf play|V for|P Zimbabwe|N ,|, I|Pron would|Mod do|V so|Adv only|Adv by|P neglecting|V the|D voice|N of|P my|PosPron conscience|N .|. "
"If we can put the fire out, we will do so.","If|P we|Pron can|Mod put|V the|D fire|N out|P ,|, we|Pron will|Mod do|V so|Adv .|. "
"It is up to us other teams to take steps to rectify our performance deficiency, and we will.","It|Pron is|V up|P to|To-Inf us|Pron other|A teams|N to|To-Inf take|V steps|N to|To-Inf rectify|V our|PosPron performance|N deficiency|N ,|, and|Con we|Pron will|Mod .|. "
Passive Voice,Passive|A Voice|N 
John's muscles were trained everyday and so were Bill's.,John|N 's|Pos muscles|N were|V trained|V everyday|A and|Con so|Adv were|V Bill|N 's|Pos .|. 
The report wouldn't be written even when I asked him to. ,The|D report|N would|Mod n't|Adv be|V written|V even|Adv when|WhAdv I|Pron asked|V him|Pron to|To-Inf .|. 
"It was vowed that he would stay loyal, and he did.","It|Pron was|V vowed|V that|P he|Pron would|Mod stay|V loyal|A ,|, and|Con he|Pron did|V .|. "
"It was said that he gave up, and they did too.","It|Pron was|V said|V that|P he|Pron gave|V up|Part ,|, and|Con they|Pron did|V too|Adv .|. "
"The mother was not visited by the boy, but his father was.","The|D mother|N was|V not|Adv visited|V by|P the|D boy|N ,|, but|Con his|PosPron father|N was|V .|. "
"This fire is being put out by us, and other companies are helping us too.","This|D fire|N is|V being|V put|V out|Part by|P us|Pron ,|, and|Con other|A companies|N are|V helping|V us|Pron too|Adv .|. "
"The fire will be put out, if it can be.","The|D fire|N will|Mod be|V put|V out|Part ,|, if|P it|Pron can|Mod be|V .|. "
The school proyect was worked on by Bill because John hadn't even started yet.,The|D school|N proyect|N was|V worked|V on|P by|P Bill|N because|P John|N had|V n't|Adv even|Adv started|V yet|Adv .|. 
"Steps were taken to rectify our performance deficiency, and it was.","Steps|N were|V taken|V to|To-Inf rectify|V our|PosPron performance|N deficiency|N ,|, and|Con it|Pron was|V .|. "
"Apologies were given by most prisoners, but the gang leaders refused to do so.","Apologies|N were|V given|V by|P most|A prisoners|N ,|, but|Con the|D gang|N leaders|N refused|V to|To-Inf do|V so|Adv .|. "
Dependencies,Dependencies|N 
Active Voice,Active|A Voice|N 
The bottle cracked open.,The|D bottle|N cracked|V open|A .|. 
The old house collapsed.,The|D old|A house|N collapsed|V .|. 
I like Susan.,I|Pron like|V Susan|N .|. 
Susan and Mary arrived first.,Susan|N and|Con Mary|N arrived|V first|Adv .|. 
The best place to hide is under the bed.,The|D best|A place|N to|To-Inf hide|V is|V under|P the|D bed|N .|. 
They came running over the hill and through the woods.,They|Pron came|V running|V over|P the|D hill|N and|Con through|P the|D woods|N .|. 
They arrived first.,They|Pron arrived|V first|Adv .|. 
Pigs love truffles.,Pigs|N love|V truffles|N .|. 
Humans love to eat pigs.,Humans|N love|V to|To-Inf eat|V pigs|N .|. 
I drink absinthe.,I|Pron drink|V absinthe|Adv .|. 
Mary ran.,Mary|N ran|N .|. 
John joked.,John|N joked|V .|. 
The horse galloped.,The|D horse|N galloped|V .|. 
Bill kicked the cat.,Bill|N kicked|V the|D cat|N .|. 
Mary swallowed the fly.,Mary|N swallowed|V the|D fly|N .|. 
John punched Bill.,John|N punched|V Bill|N .|. 
Bill gave the tapestry to John.,Bill|N gave|V the|D tapestry|N to|To-Inf John|N .|. 
The butler sent the poison to John.,The|D butler|N sent|V the|D poison|N to|To-Inf John|N .|. 
John demonized Bill.,John|N demonized|A Bill|N .|. 
"In her arm, Susan felt a twinge.","In|P her|PosPron arm|N ,|, Susan|N felt|V a|D twinge|N .|. "
Genie intoned the prayer.,Genie|N intoned|V the|D prayer|N .|. 
John became the mayor.,John|N became|V the|D mayor|N .|. 
I want to kiss pigs.,I|Pron want|V to|To-Inf kiss|V pigs|N .|. 
I want to sing.,I|Pron want|V to|To-Inf sing|V .|. 
We donated a chopper to the new hospital.,We|Pron donated|V a|D chopper|N to|To-Inf the|D new|A hospital|N .|. 
Mary and Bill soaked their feet after dinner.,Mary|N and|Con Bill|N soaked|V their|PosPron feet|N after|P dinner|N .|. 
I love focaccia and sun dried tomatoes.,I|Pron love|V focaccia|Adv and|Con sun|V dried|V tomatoes|N .|. 
I live on a boat.,I|Pron live|V on|P a|D boat|N .|. 
John left Mary.,John|N left|V Mary|N .|. 
The man is washing clothes.,The|D man|N is|V washing|V clothes|N .|. 
Passive Voice,Passive|A Voice|N 
Those bananas were eaten by monkeys.,Those|D bananas|N were|V eaten|V by|P monkeys|N .|. 
The poison was sent by the butler. ,The|D poison|N was|V sent|V by|P the|D butler|N .|. 
Absinthe is drinken regularly.,Absinthe|N is|V drinken|V regularly|Adv .|. 
The boat is lived on. ,The|D boat|N is|V lived|V on|P .|. 
Mary was left by John. ,Mary|N was|V left|V by|P John|N .|. 
The tapestry was given to John.,The|D tapestry|N was|V given|V to|To-Inf John|N .|. 
She was kissed.,She|Pron was|V kissed|V .|. 
They were kicked out.,They|Pron were|V kicked|V out|Part .|. 
The fly was swallowed. ,The|D fly|N was|V swallowed|V .|. 
She was intended to be there.,She|Pron was|V intended|V to|To-Inf be|V there|Adv .|. 
2 Way Lex,2|Q Way|N Lex|N 
Restrictive Relative Clauses from 2A,Restrictive|A Relative|A Clauses|N from|P 2A|Q 
The guy who is holding the red crane just hit me!,The|D guy|N who|WhPron is|V holding|V the|D red|A crane|N just|Adv hit|V me|Pron !|. 
I found out something about hats that will interest you.,I|Pron found|V out|Part something|N about|P hats|N that|WhD will|Mod interest|N you|Pron .|. 
The poem about dough that John wrote was very good.,The|D poem|N about|P dough|N that|P John|N wrote|V was|V very|Adv good|A .|. 
The itch that we had yesterday was looked up.,The|D itch|N that|P we|Pron had|V yesterday|N was|V looked|V up|Part .|. 
Non-restrictive Relative Clauses from 2A,Non-restrictive|A Relative|A Clauses|N from|P 2A|Q 
"The hairy man, who I think might be drunk, hit me.","The|D hairy|N man|N ,|, who|WhPron I|Pron think|V might|Mod be|V drunk|V ,|, hit|V me|Pron .|. "
"I think that Bill, who lives next door, is intoxicated.","I|Pron think|V that|P Bill|N ,|, who|WhPron lives|V next|A door|N ,|, is|V intoxicated|V .|. "
"The people, who were walking, were certainly lost.","The|D people|N ,|, who|WhPron were|V walking|V ,|, were|V certainly|Adv lost|V .|. "
"The rings, which were heavy, were removed from the museum.
","The|D rings|N ,|, which|WhD were|V heavy|A ,|, were|V removed|V from|P the|D museum|N .|. "
Subordination (Complementary) from 2A,Subordination|N (|( Complementary|N )|) from|P 2A|Q 
John regrets that they cannot aquire this hat.,John|N regrets|N that|P they|Pron can|Mod not|Adv aquire|V this|D hat|N .|. 
"This year, I know the plastic that they will use.","This|D year|N ,|, I|Pron know|V the|D plastic|N that|P they|Pron will|Mod use|V .|. "
The ring that John bought was metal.,The|D ring|N that|WhD John|N bought|V was|V metal|N .|. 
"It was stated that the film had not been that loud, which made it less enjoyable.","It|Pron was|V stated|V that|P the|D film|N had|V not|Adv been|V that|P loud|N ,|, which|WhD made|V it|Pron less|Adv enjoyable|A .|. "
Subordination (Adjunct) Variants from 2A,Subordination|N (|( Adjunct|N )|) Variants|N from|P 2A|Q 
The president felt intoxicated while he smoked a cigar after dinner.,The|D president|N felt|V intoxicated|V while|P he|Pron smoked|V a|D cigar|N after|P dinner|N .|. 
"These people clearly think that the president's colorful announcements were lies, since nothing has changed.","These|D people|N clearly|Adv think|V that|P the|D president|N 's|Pos colorful|A announcements|N were|V lies|N ,|, since|P nothing|N has|V changed|V .|. "
I purchased the story about cranes before I had started reading it.,I|Pron purchased|V the|D story|N about|P cranes|N before|P I|Pron had|V started|V reading|V it|Pron .|. 
A cigar was smoked after the president made a loud controversial statement.,A|D cigar|N was|V smoked|V after|P the|D president|N made|V a|D loud|A controversial|A statement|N .|. 
Wh-Movement (Short) Variants from 2A,Wh-Movement|A (|( Short|N )|) Variants|V from|P 2A|Q 
What colorful languages can you speak?,What|WhPron colorful|A languages|N can|Mod you|Pron speak|V ?|. 
Which itch would you scratch?,Which|A itch|N would|Mod you|Pron scratch|V ?|. 
Who was she intoxicated with?,Who|WhPron was|V she|Pron intoxicated|V with|P ?|. 
Which bar was phoned?,Which|A bar|N was|V phoned|V ?|. 
Wh-Movement (Long) from 2A,Wh-Movement|A (|( Long|N )|) from|P 2A|Q 
What are all the hats which you got for Christmas?,What|WhPron are|V all|D-Q the|D hats|N which|WhD you|Pron got|V for|P Christmas|N ?|. 
Which strange picture of himself does he think that she will keep?,Which|A strange|A picture|N of|P himself|Pron does|V he|Pron think|V that|P she|Pron will|Mod keep|V ?|. 
What dough do you think Susan eats?,What|WhPron dough|N do|V you|Pron think|V Susan|N eats|N ?|. 
What plane did you say was seen?,What|WhPron plane|N did|V you|Pron say|V was|V seen|V ?|. 
Dependencies Variants from 2A,Dependencies|N Variants|N from|P 2A|Q 
He cut the plastic with a knife.,He|Pron cut|V the|D plastic|N with|P a|D knife|N .|. 
The old crane collapsed.,The|D old|A crane|N collapsed|V .|. 
The letter was for John.,The|D letter|N was|V for|P John|N .|. 
They were removed from the club.,They|Pron were|V removed|V from|P the|D club|N .|. 
Ellipsis Variants from 2A,Ellipsis|N Variants|N from|P 2A|Q 
"Mary can't kneed the dough, but John can.","Mary|N ca_n't|N kneed|V the|D dough|N ,|, but|Con John|N can|Mod .|. "
"You know itches are annoying, but John does not.","You|Pron know|V itches|N are|V annoying|V ,|, but|Con John|N does|V not|Adv .|. "
"He was charged to stay, and he did.","He|Pron was|V charged|V to|To-Inf stay|V ,|, and|Con he|Pron did|V .|. "
"The solution will be found out, if it can be.","The|D solution|N will|Mod be|V found|V out|Part ,|, if|P it|Pron can|Mod be|V .|. "
Multi Lex,Multi|N Lex|N 
Restrictive Relative Clauses from 2A,Restrictive|A Relative|A Clauses|N from|P 2A|Q 
The teller who is holding the red bat just hit me!,The|D teller|N who|WhPron is|V holding|V the|D red|A bat|N just|Adv hit|V me|Pron !|. 
I found out something about metal fans which will interest you.,I|Pron found|V out|Part something|N about|P metal|N fans|N which|WhD will|Mod interest|N you|Pron .|. 
The cool poem that John wrote was very good.,The|D cool|A poem|N that|WhD John|N wrote|V was|V very|Adv good|A .|. 
The film written next to John was very good.,The|D film|N written|V next|A to|To-Inf John|N was|V very|Adv good|A .|. 
Non-restrictive Relative Clauses from 2A,Non-restrictive|A Relative|A Clauses|N from|P 2A|Q 
"The man that is charging, who I think might be a fan, hit me.","The|D man|N that|WhD is|V charging|V ,|, who|WhPron I|Pron think|V might|Mod be|V a|D fan|N ,|, hit|V me|Pron .|. "
"Mary answered the letter, which was hard.","Mary|N answered|V the|D letter|N ,|, which|WhD was|V hard|Adv .|. "
"We observed that Susan killed the light, the one in the club.","We|Pron observed|V that|P Susan|N killed|V the|D light|N ,|, the|D one|Q in|P the|D club|N .|. "
"For John, who loves dates, to not eat them would be impossible.","For|P John|N ,|, who|WhPron loves|V dates|N ,|, to|To-Inf not|Adv eat|V them|Pron would|Mod be|V impossible|A .|. "
Subordination (Complementary) from 2A,Subordination|N (|( Complementary|N )|) from|P 2A|Q 
This is the film that you said was cool.,This|D is|V the|D film|N that|P you|Pron said|V was|V cool|N .|. 
It is fine that John is at the bar.,It|Pron is|V fine|A that|P John|N is|V at|P the|D bar|N .|. 
They know which fans are on sale.,They|Pron know|V which|WhD fans|N are|V on|P sale|N .|. 
I asked if the bank charged.,I|Pron asked|V if|P the|D bank|N charged|V .|. 
Subordination (Adjunct) Variants from 2A,Subordination|N (|( Adjunct|N )|) Variants|N from|P 2A|Q 
The president ran before he began smoking a cigar.,The|D president|N ran|V before|P he|Pron began|V smoking|V a|D cigar|N .|. 
I purchased the story about bats before I started reading it.,I|Pron purchased|V the|D story|N about|P bats|N before|P I|Pron started|V reading|V it|Pron .|. 
This collection of films were not cleaned every day after the janitor quit.,This|D collection|N of|P films|N were|V not|Adv cleaned|V every|D day|N after|P the|D janitor|N quit|N .|. 
Mary was seen lost with John after she declared her love.,Mary|N was|V seen|V lost|V with|P John|N after|P she|Pron declared|V her|Pron love|N .|. 
Wh-Movement (Short) Variants from 2A,Wh-Movement|A (|( Short|N )|) Variants|V from|P 2A|Q 
Which date would you charge for?,Which|A date|N would|Mod you|Pron charge|V for|P ?|. 
Where did you put the bar?,Where|WhAdv did|V you|Pron put|V the|D bar|N ?|. 
Which letter was chosen?,Which|A letter|N was|V chosen|V ?|. 
Which club was used?,Which|A club|N was|V used|V ?|. 
Wh-Movement (Long) from 2A,Wh-Movement|A (|( Long|N )|) from|P 2A|Q 
Who do you think they engaged?,Who|WhPron do|V you|Pron think|V they|Pron engaged|V ?|. 
On whom do you consider that these rings fit best?,On|P whom|WhPron do|V you|Pron consider|V that|P these|D rings|N fit|V best|A ?|. 
Which club do you think he wants to stay at?,Which|WhD club|N do|V you|Pron think|V he|Pron wants|V to|To-Inf stay|V at|P ?|. 
How far inside the plane do you think it was built?,How|WhAdv far|Adv inside|P the|D plane|N do|V you|Pron think|V it|Pron was|V built|V ?|. 
Dependencies Variants from 2A,Dependencies|N Variants|N from|P 2A|Q 
He cut the date with a knife.,He|Pron cut|V the|D date|N with|P a|D knife|N .|. 
The old plane collapsed.,The|D old|A plane|N collapsed|V .|. 
The letter was for John.,The|D letter|N was|V for|P John|N .|. 
They were removed from the club.,They|Pron were|V removed|V from|P the|D club|N .|. 
Ellipsis Variants from 2A,Ellipsis|N Variants|N from|P 2A|Q 
"Mary can't get to the plane, but John can.","Mary|N ca_n't|N get|N to|To-Inf the|D plane|N ,|, but|Con John|N can|Mod .|. "
"This boy must not get the letter, but his father must.","This|D boy|N must|Mod not|Adv get|V the|D letter|N ,|, but|Con his|PosPron father|N must|Mod .|. "
"The solution will be found out, if it can be.","The|D solution|N will|Mod be|V found|V out|Part ,|, if|P it|Pron can|Mod be|V .|. "
"Apologies were given after the ring incident, but some did not do so.","Apologies|N were|V given|V after|P the|D ring|N incident|N ,|, but|Con some|D did|V not|Adv do|V so|Adv .|. "
2 Way Structural,2|Q Way|N Structural|N 
Restrictive Relative Clauses from 2A,Restrictive|A Relative|A Clauses|N from|P 2A|Q 
The guy who is holding the red apple just hit the person with a paperclip!,The|D guy|N who|WhPron is|V holding|V the|D red|A apple|N just|Adv hit|V the|D person|N with|P a|D paperclip|N !|. 
The poem that John wrote on the prairie was very good.,The|D poem|N that|WhD John|N wrote|V on|P the|D prairie|N was|V very|Adv good|A .|. 
The song was sung by the woman who is happy.,The|D song|N was|V sung|V by|P the|D woman|N who|WhPron is|V happy|A .|. 
The poem written by John was very good.,The|D poem|N written|V by|P John|N was|V very|Adv good|A .|. 
Non-restrictive Relative Clauses from 2A,Non-restrictive|A Relative|A Clauses|N from|P 2A|Q 
"The man that is escaping, who I think might be drunk, hit the lady with a pillow.","The|D man|N that|WhD is|V escaping|V ,|, who|WhPron I|Pron think|V might|Mod be|V drunk|V ,|, hit|V the|D lady|N with|P a|D pillow|N .|. "
"Bill, who was quite afraid, had walked away from his neighbor with a yellow umbrella.","Bill|N ,|, who|WhPron was|V quite|Adv afraid|A ,|, had|V walked|V away|Adv from|P his|PosPron neighbor|N with|P a|D yellow|A umbrella|N .|. "
The hat had been worn by Mary.,The|D hat|N had|V been|V worn|V by|P Mary|N .|. 
"The book, which was old, was donated to the hospital with glee.","The|D book|N ,|, which|WhD was|V old|A ,|, was|V donated|V to|To-Inf the|D hospital|N with|P glee|N .|. "
Subordination (Complementary) from 2A,Subordination|N (|( Complementary|N )|) from|P 2A|Q 
John explained that we cannot afford this car with silver accesories.,John|N explained|V that|P we|Pron can|Mod not|Adv afford|V this|D car|N with|P silver|N accesories|N .|. 
Bill said that he spooked the janitor with a gray wig.,Bill|N said|V that|P he|Pron spooked|V the|D janitor|N with|P a|D gray|A wig|N .|. 
It was explained that we cannot afford this car during Christmas.,It|Pron was|V explained|V that|P we|Pron can|Mod not|Adv afford|V this|D car|N during|P Christmas|N .|. 
It is known that Mary is here by everyone.,It|Pron is|V known|V that|P Mary|N is|V here|Adv by|P everyone|N .|. 
Subordination (Adjunct) Variants from 2A,Subordination|N (|( Adjunct|N )|) Variants|N from|P 2A|Q 
The president wrote a book on notebooks after he had his meeting.,The|D president|N wrote|V a|D book|N on|P notebooks|N after|P he|Pron had|V his|PosPron meeting|N .|. 
The sun rises after the cow jumped over the moon with clouds.,The|D sun|N rises|V after|P the|D cow|N jumped|V over|P the|D moon|N with|P clouds|N .|. 
Mary was seen after she spoke with John.,Mary|N was|V seen|V after|P she|Pron spoke|V with|P John|N .|. 
My uncle in Brazil was seen by Tom before he died.,My|PosPron uncle|N in|P Brazil|N was|V seen|V by|P Tom|N before|P he|Pron died|V .|. 
Wh-Movement (Short) Variants from 2A,Wh-Movement|A (|( Short|N )|) Variants|V from|P 2A|Q 
What languages can you speak without difficulty with the tourist in costumes?,What|WhPron languages|V can|Mod you|Pron speak|V without|P difficulty|N with|P the|D tourist|N in|P costumes|N ?|. 
Who was she talking to on the phone while patching up the jeans with black thread?,Who|WhPron was|V she|Pron talking|V to|To-Inf on|P the|D phone|N while|P patching|V up|Part the|D jeans|N with|P black|A thread|N ?|. 
What can be finished in time for lunch at school?,What|WhPron can|Mod be|V finished|V in|P time|N for|P lunch|N at|P school|N ?|. 
Whom was hurt after the man with the candle?,Whom|N was|V hurt|V after|P the|D man|N with|P the|D candle|N ?|. 
Wh-Movement (Long) from 2A,Wh-Movement|A (|( Long|N )|) from|P 2A|Q 
What car did Bill say that he fixed with tape?,What|WhPron car|N did|V Bill|N say|V that|P he|Pron fixed|V with|P tape|N ?|. 
Why did the boy say he hurt himself with a microphone? ,Why|WhAdv did|V the|D boy|N say|V he|Pron hurt|V himself|Pron with|P a|D microphone|N ?|. 
Who did you say was pushed at the stairs?,Who|WhPron did|V you|Pron say|V was|V pushed|V at|P the|D stairs|N ?|. 
What did you say was seen with a microphone?,What|WhPron did|V you|Pron say|V was|V seen|V with|P a|D microphone|N ?|. 
Dependencies Variants from 2A,Dependencies|N Variants|N from|P 2A|Q 
He cut the apple with a knife.,He|Pron cut|V the|D apple|N with|P a|D knife|N .|. 
Bill kicked the cat with yellow boots.,Bill|N kicked|V the|D cat|N with|P yellow|A boots|N .|. 
She was kissed by the man with lipstick.,She|Pron was|V kissed|V by|P the|D man|N with|P lipstick|N .|. 
The fly was swallowed for a proyect at school.,The|D fly|N was|V swallowed|V for|P a|D proyect|N at|P school|N .|. 
Ellipsis Variants from 2A,Ellipsis|N Variants|N from|P 2A|Q 
Mary can't go to the store with the cat but John can.,Mary|N ca_n't|N go|V to|To-Inf the|D store|N with|P the|D cat|N but|Con John|N can|Mod .|. 
"They say the chairman has resigned from the board, but I don’t think he has.","They|Pron say|V the|D chairman|N has|V resigned|V from|P the|D board|N ,|, but|Con I|Pron don|V ’|A t|N think|N he|Pron has|V .|. "
"This fire must be put out by the fire deparment, and it will be.","This|D fire|N must|Mod be|V put|V out|Part by|P the|D fire|N deparment|N ,|, and|Con it|Pron will|Mod be|V .|. "
"Steps were taken by the team to improve, and we did.","Steps|N were|V taken|V by|P the|D team|N to|To-Inf improve|V ,|, and|Con we|Pron did|V .|. "
Multiple Structural,Multiple|A Structural|N 
Restrictive Relative Clauses from 1A,Restrictive|A Relative|A Clauses|N from|P 1A|Q 
The guy who is holding the red apple just hit the person holding a coffee with a paperclip!,The|D guy|N who|WhPron is|V holding|V the|D red|A apple|N just|Adv hit|V the|D person|N holding|V a|D coffee|N with|P a|D paperclip|N !|. 
The superhero saved the man with the shield made of silver and the girl with the shield made of gold.,The|D superhero|N saved|V the|D man|N with|P the|D shield|N made|V of|P silver|N and|Con the|D girl|N with|P the|D shield|N made|V of|P gold|N .|. 
The banana that is being eaten by that monkey and chimpanzee with black spots is yellow.,The|D banana|N that|WhD is|V being|V eaten|V by|P that|D monkey|N and|Con chimpanzee|N with|P black|A spots|N is|V yellow|A .|. 
The person was just hit by the guy with a paperclip. ,The|D person|N was|V just|Adv hit|V by|P the|D guy|N with|P a|D paperclip|N .|. 
Non-restrictive Relative Clauses from 1A,Non-restrictive|A Relative|A Clauses|N from|P 1A|Q 
"I asked which king, of the old kings, had invaded the city and island with golden armour.","I|Pron asked|V which|WhD king|N ,|, of|P the|D old|A kings|N ,|, had|V invaded|V the|D city|N and|Con island|N with|P golden|A armour|N .|. "
"I wondered whether Mary, who has brown hair, had fled the building and scene with bloody residue.","I|Pron wondered|V whether|P Mary|N ,|, who|WhPron has|V brown|V hair|N ,|, had|V fled|V the|D building|N and|Con scene|N with|P bloody|N residue|N .|. "
"The dragons, who were purple, have been slain by wizards and witches with sticks.","The|D dragons|N ,|, who|WhPron were|V purple|Adv ,|, have|V been|V slain|V by|P wizards|N and|Con witches|N with|P sticks|N .|. "
"The book, which was old, was donated to the hospital by teachers and students with leather coats.","The|D book|N ,|, which|WhD was|V old|A ,|, was|V donated|V to|To-Inf the|D hospital|N by|P teachers|N and|Con students|N with|P leather|N coats|N .|. "
Subordination (Complementary) from 1A,Subordination|N (|( Complementary|N )|) from|P 1A|Q 
This is the movie that we saw in the theater and park with silk garments.,This|D is|V the|D movie|N that|P we|Pron saw|V in|P the|D theater|N and|Con park|N with|P silk|N garments|N .|. 
They know which photographs are on sale on the beach with black sand.,They|Pron know|V which|WhD photographs|V are|V on|P sale|N on|P the|D beach|N with|P black|A sand|N .|. 
The town that John destroyed with civilians was rebuilt. ,The|D town|N that|WhD John|N destroyed|V with|P civilians|N was|V rebuilt|V .|. 
It was said that he spooked the janitor in the classroom with a spider.,It|Pron was|V said|V that|P he|Pron spooked|V the|D janitor|N in|P the|D classroom|N with|P a|D spider|N .|. 
Subordination (Adjunct) Variants from 1A,Subordination|N (|( Adjunct|N )|) Variants|N from|P 1A|Q 
The president wrote a book on notebooks with crayons after he had his meeting.,The|D president|N wrote|V a|D book|N on|P notebooks|N with|P crayons|N after|P he|Pron had|V his|PosPron meeting|N .|. 
John destroyed a town with dogs last Friday since he was angry.,John|N destroyed|V a|D town|N with|P dogs|N last|A Friday|N since|P he|Pron was|V angry|A .|. 
Mary ate ice cream until she was fired with joy by the company.,Mary|A ate|N ice|N cream|N until|P she|Pron was|V fired|V with|P joy|N by|P the|D company|N .|. 
